source,relation,target_symbol,target_name,target_country,weight
NVDA.US,competitor,AMD,Advanced Micro Devices Inc,USA,10
NVDA.US,competitor,AVGO,Broadcom Inc,USA,5
NVDA.US,competitor,MSFT,Microsoft Corporation,USA,2
NVDA.US,competitor,AMZN,Amazon.com Inc,USA,2
NVDA.US,competitor,MU,Micron Technology Inc,USA,2
NVDA.US,competitor,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,Taiwan,1
NVDA.US,competitor,TSLA,Tesla Inc,USA,1
NVDA.US,competitor,MRVL,Marvell Technology Group Ltd,USA,1
NVDA.US,competitor,QCOM,Qualcomm Incorporated,USA,1
NVDA.US,peer,INTC,Intel Corporation,USA,5
NVDA.US,peer,MRVL,Marvell Technology Group Ltd,USA,5
NVDA.US,peer,GOOGL,Alphabet Inc Class A,USA,4
NVDA.US,peer,AMD,Advanced Micro Devices Inc,USA,4
NVDA.US,peer,MSFT,Microsoft Corporation,USA,3
NVDA.US,peer,AVGO,Broadcom Inc,USA,3
NVDA.US,peer,688041,Hygon Information Technology Co. Ltd. A,China,3
NVDA.US,peer,ALAB,"Astera Labs, Inc.",USA,3
NVDA.US,peer,9888,Baidu Inc,Hong Kong,3
NVDA.US,peer,9903,Shanghai Iluvatar Corex,Hong Kong,3
NVDA.US,peer,1879,"Shanghai Xizhi Technology Co., Ltd.",Hong Kong,3
NVDA.US,peer,3652,Digital Media Professionals Inc.,Japan,3
MU.US,competitor,000660,SK Hynix Inc,Korea,4
MU.US,competitor,NVDA,NVIDIA Corporation,USA,2
MU.US,competitor,AAPL,Apple Inc.,USA,2
MU.US,competitor,SNDK,Sandisk Corp,USA,2
MU.US,competitor,META,Meta Platforms Inc.,USA,1
MU.US,competitor,005930,Samsung Electronics Co Ltd,Korea,1
MU.US,peer,005930,Samsung Electronics Co Ltd,Korea,2
MU.US,peer,000660,SK Hynix Inc,Korea,2
MU.US,peer,034730,SK Holdings Co Ltd,Korea,2
MU.US,peer,6531,AP Memory Technology Corp,Taiwan,2
MU.US,peer,PENG,"Penguin Solutions, Inc.",USA,2
MU.US,peer,5351,Etron Technology,Taiwan,2
MU.US,peer,SNDK,Sandisk Corp,USA,1
MU.US,peer,285A,Kioxia Holdings Corporation,Japan,1
MU.US,peer,603986,GigaDevice Semiconductor(Beiji,China,1
MU.US,peer,688008,Montage Technology Co Ltd,China,1
MU.US,peer,MCHP,Microchip Technology Inc,USA,1
MU.US,peer,2408,Nanya Technology Corp,Taiwan,1
AAPL.US,competitor,005930,Samsung Electronics Co Ltd,Korea,6
AAPL.US,competitor,MU,Micron Technology Inc,USA,2
AAPL.US,competitor,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,1
AAPL.US,peer,META,Meta Platforms Inc.,USA,2
AAPL.US,peer,QCOM,Qualcomm Incorporated,USA,2
AAPL.US,peer,2454,MediaTek Inc,Taiwan,2
AAPL.US,peer,6758,Sony Group Corporation,Japan,2
AAPL.US,peer,ALIMR,Immersion SA,France,2
AAPL.US,peer,GOOGL,Alphabet Inc Class A,USA,1
AAPL.US,peer,AMZN,Amazon.com Inc,USA,1
AAPL.US,peer,005930,Samsung Electronics Co Ltd,Korea,1
AAPL.US,peer,AMD,Advanced Micro Devices Inc,USA,1
AAPL.US,peer,700,Tencent Holdings Ltd,Hong Kong,1
AAPL.US,peer,INTC,Intel Corporation,USA,1
AAPL.US,peer,0J5H,"Himax Technologies, Inc.",UK,1
MSFT.US,competitor,NVDA,NVIDIA Corporation,USA,2
MSFT.US,competitor,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,1
MSFT.US,competitor,META,Meta Platforms Inc.,USA,1
MSFT.US,competitor,CRM,Salesforce.com Inc,USA,1
MSFT.US,peer,GOOGL,Alphabet Inc Class A,USA,14
MSFT.US,peer,AMZN,Amazon.com Inc,USA,9
MSFT.US,peer,CRWD,Crowdstrike Holdings Inc,USA,7
MSFT.US,peer,ACN,Accenture plc,USA,7
MSFT.US,peer,700,Tencent Holdings Ltd,Hong Kong,5
MSFT.US,peer,ORCL,Oracle Corporation,USA,5
MSFT.US,peer,IBM,International Business Machines,USA,5
MSFT.US,peer,PANW,Palo Alto Networks Inc,USA,5
MSFT.US,peer,4716,Oracle Corporation Japan,Japan,5
MSFT.US,peer,4704,Trend Micro Incorporated,Japan,5
MSFT.US,peer,064400,LG CNS,Korea,5
MSFT.US,peer,600756,Inspur Software Co Ltd,China,5
GOOGL.US,competitor,TSLA,Tesla Inc,USA,3
GOOGL.US,competitor,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,1
GOOGL.US,competitor,META,Meta Platforms Inc.,USA,1
GOOGL.US,competitor,VZ,Verizon Communications Inc,USA,1
GOOGL.US,competitor,UBER,Uber Technologies Inc,USA,1
GOOGL.US,peer,MSFT,Microsoft Corporation,USA,14
GOOGL.US,peer,AMZN,Amazon.com Inc,USA,12
GOOGL.US,peer,ORCL,Oracle Corporation,USA,6
GOOGL.US,peer,IBM,International Business Machines,USA,6
GOOGL.US,peer,9888,Baidu Inc,Hong Kong,6
GOOGL.US,peer,600756,Inspur Software Co Ltd,China,6
GOOGL.US,peer,700,Tencent Holdings Ltd,Hong Kong,5
GOOGL.US,peer,CRWD,Crowdstrike Holdings Inc,USA,5
GOOGL.US,peer,ACN,Accenture plc,USA,5
GOOGL.US,peer,018260,Samsung SDS Co Ltd,Korea,5
GOOGL.US,peer,064400,LG CNS,Korea,5
GOOGL.US,peer,300634,Richinfo Technology Co Ltd Class A,China,5
META.US,competitor,CRWV,"CoreWeave, Inc. Class A Common Stock",USA,4
META.US,competitor,NBIS,Nebius Group N.V.,USA,2
META.US,competitor,GOOGL,Alphabet Inc Class A,USA,1
META.US,competitor,MSFT,Microsoft Corporation,USA,1
META.US,competitor,AMZN,Amazon.com Inc,USA,1
META.US,competitor,MU,Micron Technology Inc,USA,1
META.US,peer,AAPL,Apple Inc.,USA,2
META.US,peer,GOOGL,Alphabet Inc Class A,USA,2
META.US,peer,700,Tencent Holdings Ltd,Hong Kong,2
META.US,peer,9988,Alibaba Group Holding Ltd,Hong Kong,2
META.US,peer,603296,HUAQIN TECHNOLOGY LTD A,China,2
META.US,peer,U,Unity Software Inc,USA,2
META.US,peer,002241,Goertek Inc,China,2
META.US,peer,SNAP,Snap Inc,USA,2
META.US,peer,300058,BlueFocus Communication Group,China,2
META.US,peer,0020,SenseTime Group Inc Class B,Hong Kong,2
META.US,peer,4938,Pegatron Corp,Taiwan,2
META.US,peer,380550,380550,Korea,2
AMZN.US,competitor,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,3
AMZN.US,competitor,NVDA,NVIDIA Corporation,USA,2
AMZN.US,competitor,META,Meta Platforms Inc.,USA,1
AMZN.US,competitor,WMT,Walmart Inc.,USA,1
AMZN.US,competitor,QCOM,Qualcomm Incorporated,USA,1
AMZN.US,competitor,T,AT&T Inc.,USA,1
AMZN.US,competitor,FDX,FedEx Corporation,USA,1
AMZN.US,competitor,SFM,Sprouts Farmers Market LLC,USA,1
AMZN.US,peer,GOOGL,Alphabet Inc Class A,USA,12
